split,paper_index,title,has_explicit_novelty_claim,claim_text,claim_quote,reason_text,reason_quote,confidence,validation_note
train,10,Who Validates the Validators? Aligning LLM-Assisted Evaluation of LLM Outputs with Human Preferences,True,"The paper presents a mixed-initiative approach to align LLM-generated evaluation functions with human requirements, a process termed ""validate the validators"".",We present a mixed-initiative approach to ``validate the validators'' -- aligning LLM-generated evaluation functions (be it prompts or code) with human requirements.,"The authors also identify and name a new phenomenon called ""criteria drift"", where the act of grading outputs helps users to define the evaluation criteria itself.","In particular, we identify a phenomenon we dub \emph{criteria drift}: users need criteria to grade outputs, but grading outputs helps users define criteria.",high,"The abstract makes two explicit claims: presenting a new approach ('We present...') and identifying a new phenomenon ('we identify a phenomenon we dub...'). Both are strong novelty claims. The primary claim is the approach, and a key novel finding from its application is the phenomenon, which explains why such an approach is needed."
train,11,Aligning Model Evaluations with Human Preferences: Mitigating Token Count Bias in Language Model Assessments,True,The authors developed a recalibration procedure to adjust the GPTScorer to mitigate biases.,We employed Bayesian statistics and a t-test to quantify this bias and developed a recalibration procedure to adjust the GPTScorer.,This procedure was developed to align LLM evaluator preferences with human evaluations by addressing biases like the preference for higher token counts.,"This follow-up paper explores methods to align LLM evaluator preferences with human evaluations by addressing biases, particularly toward higher token counts.",high,"The abstract explicitly states that the authors 'developed a recalibration procedure', which is a direct claim of creating a new method."
train,12,Proxy tasks and subjective measures can be misleading in evaluating explainable AI systems,True,"The paper demonstrates through experiments that common evaluation methods for XAI systems, such as proxy tasks and subjective measures, are misleading and do not predict actual performance.","The results of our experiments demonstrate that evaluations with proxy tasks did not predict the results of the evaluations with the actual decision-making tasks. Further, the subjective measures on evaluations with actual decision-making tasks did not predict the objective performance on those same tasks.","This is a significant finding because current XAI systems are commonly evaluated using these misleading methods, while evaluations measuring the performance of human+AI teams on actual tasks are rare.","Yet, current XAI systems are rarely evaluated by measuring the performance of human+AI teams on actual decision-making tasks.",medium,"The abstract explicitly claims to 'demonstrate' findings that challenge 'currently common techniques'. While it doesn't use words like 'novel' or 'first', demonstrating that common practice is flawed is a strong, explicit claim of a new and important contribution."
train,13,A Conceptual Model Framework for XAI Requirement Elicitation of Application Domain System,True,The study proposes a method of using Mental Models to gather explainability requirements and developing an Ontology-Driven Conceptual Model to help users better understand explanations.,This study proposes using Mental Models to elicit explainability requirements and to develop an Ontology-Driven Conceptual Model to facilitate the learning process for a better understanding of explanations.,,,high,"The abstract clearly states a proposal using the verb 'proposes', which constitutes an explicit claim of contribution. However, it does not explicitly state a reason why this proposal is novel, only that the 'current utility is limited' for mental models in XAI."
train,14,Towards Human-AI Deliberation: Design and Evaluation of LLM-Empowered Deliberative AI for AI-Assisted Decision-Making,True,"The authors propose Human-AI Deliberation, a novel framework designed to enhance AI-assisted decision-making.","To tackle this challenge, we propose Human-AI Deliberation, a novel framework to promote human reflection and discussion on conflicting human-AI opinions in decision-making.","The framework is novel because it promotes human reflection and discussion on conflicting opinions between humans and AI, contrasting with paradigms where humans passively review AI suggestions.",to promote human reflection and discussion on conflicting human-AI opinions in decision-making.,high,The abstract explicitly uses the word 'novel' to describe the proposed framework.
train,15,"Explaining Groups of Instances Counterfactually for XAI: A Use Case, Algorithm and User Study for Group-Counterfactuals",True,"The authors propose a novel algorithm for generating ""group counterfactuals"" to explain groups of similar instances collectively.","A novel, group-counterfactual algorithm is proposed to generate high-coverage explanations that are faithful to the to-be-explained model.","This approach is novel because counterfactual explanations are typically used for individual instances, whereas this method explains groups of instances collectively.","Although counterfactual explanations are normally used to explain individual predictive-instances, we explore a novel use case in which groups of similar instances are explained in a collective fashion using ``group counterfactuals''",high,
train,16,Human-Centered Evaluation and Auditing of Language Models,False,,,,,low,"The abstract describes the aims, topics, and goals of a workshop. It does not contain any explicit claims of a novel method, finding, or contribution made by the authors in this paper."
train,17,Human-Centered Design Recommendations for LLM-as-a-judge,True,The paper offers findings and design recommendations to optimize systems that use large language models as evaluators with human assistance.,We offer findings and design recommendations to optimize human-assisted LLM-as-judge systems.,,,high,"The paper explicitly states its contribution as offering findings and design recommendations, but does not provide an explicit reason within the abstract for why this contribution is novel."
train,18,ALLURE: A Systematic Protocol for Auditing and Improving LLM-based Evaluation of Text using Iterative In-Context-Learning,True,"The authors introduce ALLURE, a systematic approach for auditing and improving LLM-based text evaluation.","Here we introduce ALLURE, a systematic approach to Auditing Large Language Models Understanding and Reasoning Errors.",,,high,"The abstract uses the explicit term 'introduce' to present the ALLURE protocol, but it does not provide an explicit reason for its novelty compared to other existing methods."
train,19,EvalLM: Interactive Evaluation of Large Language Model Prompts on User-Defined Criteria,True,"The authors present EvalLM, an interactive system designed for the iterative refinement of prompts through the evaluation of multiple outputs based on user-defined criteria.","We present EvalLM, an interactive system for iteratively refining prompts by evaluating multiple outputs on user-defined criteria.",,,high,"The abstract explicitly presents 'EvalLM' as the paper's contribution. However, it does not explicitly state a reason for why this system is novel compared to prior work; instead, it demonstrates its value through a comparative study."
train,20,PUREsuggest: Citation-based Literature Search and Visual Exploration with Keyword-controlled Rankings,True,The novelty of the PUREsuggest approach lies in its transparent visual explanation of rankings and the ability for users to steer the process with keywords reflecting their topics of interest.,"The focus and novelty of the approach is, first, the transparency of how the rankings are explained visually and, second, that the process can be steered through user-defined keywords, which reflect topics of interests.",,,high,The abstract explicitly uses the word 'novelty' to describe two specific aspects of the approach.
train,21,Efficacy improvement in searching MEDLINE database using a novel PubMed visual analytic system: EEEvis,True,"The authors developed EEEvis, a novel interactive visual analytic system and user interface for searching PubMed.","Therefore, we developed a novel user interface for PubMed and conducted three steps of study: step A, a preliminary user survey with 76 medical experts regarding the current usability for the biomedical literature search task at PubMed; step B is implementing EEEvis, a novel interactive visual analytic system for the search task; step C, a randomized user study comparing PubMed and EEEvis.",,,high,"The authors repeatedly use the word 'novel' to describe their system (EEEvis) but do not explicitly state in a single sentence what makes it novel, though they do list its features and functions."
train,22,Visual Analysis and Dissemination of Scientific Literature Collections with SurVis,True,"The paper presents SurVis, a visual analytics system that is more accessible and designed for disseminating surveyed literature collections.","In contrast, we focused on developing a more accessible visual analytics system, called SurVis, that is ready to disseminate a carefully surveyed literature collection.",The system is novel because existing powerful systems require training and are not suitable for disseminating the insights gained.,"Powerful systems have been built to support various types of bibliographic analysis, but they require some training and cannot be used to disseminate the insights gained.",high,"The authors use the phrase 'In contrast' to explicitly differentiate their work from prior systems, highlighting accessibility and dissemination as the key novel features."
train,23,ResearchRabbit,False,,,,,low,"The abstract describes an existing tool, ResearchRabbit, and its features. It does not contain any explicit claims of novelty by the author of this paper. It mentions a claim made by the company behind the tool, but does not present any novel contributions from the paper's author."
train,24,Bursting Scientific Filter Bubbles: Boosting Innovation via Novel Author Discovery,False,,,,,low,"The abstract describes a system ('Bridger') and its associated approaches, but it does not use explicit novelty-claiming language (e.g., 'novel', 'new', 'first-of-its-kind') to describe these contributions. The novelty is implied by the act of presenting the work, but it is not explicitly stated as a claim by the authors."
train,25,Visual impact beam plots: Analyzing research profiles and bibliometric metrics using the following-leading clustering algorithm (FLCA),True,"This study presents a unique method, the following-leading clustering algorithm (FLCA), for generating impact beam plots.",This study presents the application of a unique method called the following-leading clustering algorithm (FLCA) to generate IBPs for 3 highly productive authors.,,,high,
train,26,Science Mapping: A Systematic Review of the Literature,True,The paper claims that incorporating the evolutionary stages of a specialty into the visual analytic study of a research domain is an innovative methodology.,Incorporating the evolutionary stages of a specialty into the visual analytic study of a research domain is innovative.,The authors state this approach is valuable because it provides a systematic methodology for researchers to understand the evolution of scientific fields and synthesize information to capture the state of the art.,"It provides a systematic methodology for researchers to achieve a good understanding of how scientific fields evolve, to recognize potentially insightful patterns from visually encoded signs, and to synthesize various information so as to capture the state of the art of the domain.",high,The claim is explicitly stated under the 'Originality/value' section of the abstract using the word 'innovative'.
train,27,ComLittee: Literature Discovery with Personal Elected Author Committees,True,"The authors introduce ComLittee, a literature discovery system that supports author-centric exploration.","We reflect on the design space and introduce ComLittee, a literature discovery system that supports author-centric exploration.",This system is novel because its author-centric interaction model contrasts with the paper-centric interactions of prior systems.,"In contrast to paper-centric interaction in prior systems, ComLittee’s author-centric interaction supports curating research threads from individual authors, finding new authors and papers using combined signals from a paper recommender and the curated authors’ authorship graphs, and understanding them in the context of those signals.",high,The abstract explicitly introduces a new system and contrasts its core interaction model with that of prior systems.
train,28,A typology of research discovery tools,False,,,,,low,"The abstract states that the article 'generates a conceptual typology,' which describes the work's contribution. However, it does not use any explicit terms like 'new,' 'novel,' or 'first' to claim this typology as a novel contribution to the field."
train,29,Bridger: Toward Bursting Scientific Filter Bubbles and Boosting Innovation via Novel Author Discovery,True,"The authors developed an approach that retrieves partially similar authors by identifying their commonalities and contrasts, rather than focusing on strict similarity.","We develop an approach that locates commonalities and contrasts between scientists—retrieving partially similar authors, rather than aiming for strict similarity.",This approach is novel because it helps users discover authors for generating new research ideas at a higher rate than a state-of-the-art neural model.,"We find this approach helps users discover authors useful for generating novel research ideas of relevance to their work, at a higher rate than a state-of-art neural model.",high,
train,30,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,True,"The paper introduces CiteSee, a paper reading tool that provides personalized visual context for citations by leveraging a user's publishing, reading, and saving activities.","This paper introduces CiteSee, a paper reading tool that leverages a user’s publishing, reading, and saving activities to provide personalized visual augmentations and context around citations.",,,high,"The abstract explicitly states the introduction of a new tool, CiteSee. It does not, however, provide a separate, explicit reason for why this tool is novel; the novelty is embedded within the description of the tool itself."
train,31,CiteSight: supporting contextual citation recommendation using differential search,True,"The authors introduce CiteSight, a system for providing personalized citation recommendations that vary based on the user's task.","We introduce CiteSight, a system that provides personalized citation recommendations to author groups that vary based on task.","The system is novel because it supports a range of search needs within a single system, unlike typical search engines which use a consistent approach for all queries.","However, search engines typically employ a consistent approach for processing all queries.",high,"The abstract also introduces two additional techniques, 'active cache-warming' and 'context-coupling', as part of the main system."
train,32,Threddy: An Interactive System for Personalized Thread-based Exploration and Organization of Scientific Literature,True,This work explores a tool that is integrated into a user's reading process to help them leverage existing summaries of research threads.,"Instead, in this work we explore a tool integrated into users’ reading process that helps them with leveraging authors’ existing summarization of threads, typically in introduction or related work sections, in order to situate their own work’s contributions.","This approach is novel because previous work used standalone tools or overview visualizations, whereas this tool is integrated into the reading process.",Previous work has helped scholars to find and group papers with citation information or textual similarity using standalone tools or overview visualizations.,high,"The abstract explicitly contrasts the proposed work with 'Previous work' using the word 'Instead', which is a strong indicator of a novelty claim."
train,33,C-Rex: A Comprehensive System for Recommending In-Text Citations with Explanations,True,The C-Rex system is one of the first online context-aware citation recommendation systems and the first to integrate explanation components with a deep learning approach.,"Our system is one of the first online context-aware citation recommendation systems and the first to incorporate not only a deep learning recommendation approach, but also explanation components to help users better understand why papers were recommended.",,,high,The abstract makes two explicit claims using the phrases 'one of the first' and 'the first'. The reason for novelty is embedded within the claim of being first; no separate justification for why this is a novel step is provided.
train,34,ICA-CRMAS: Intelligent Context-Awareness Approach for Citation Recommendation based on Multi-Agent System,True,"The authors introduce ICA-CRMAS, an intelligent citation recommendation system that uses deep learning, semantic analysis, and multimodal learning to overcome the limitations of traditional systems.","In this paper we introduce the ICA-CRMAS (Intelligent Context-Aware Approach for Citation Recommendation based on Multi-Agent System), an intelligent system that leverages the power of deep learning, semantic analysis, and multimodal learning to overcome these limitations.","The system is novel because it goes beyond text-only analysis by delving into other information within papers, such as figures, and weaving this contextual data into its models.","ICA-CRMAS goes beyond the surface, delving into the rich tapestry of information within academic papers, including figures, which often hold vital contextual clues. By weaving this contextual data directly into its recommendation models, ICA-CRMAS generates highly personalized and relevant suggestions.",high,
train,35,Relatedly: Scaffolding Literature Reviews with Existing Related Work Sections,True,"The authors designed a system, Relatedly, that helps users explore and read multiple related work paragraphs on a specific topic.","In this work, we design a system, Relatedly, that scaffolds exploring and reading multiple related work paragraphs on a topic, with features including dynamic re-ranking and highlighting to spotlight unexplored dissimilar information, auto-generated descriptive paragraph headings, and low-lighting of redundant information.",,,high,"The abstract explicitly claims the design of a new system using the phrase 'In this work, we design a system...'. However, it does not explicitly state a reason why this system is novel, only the problem it is designed to solve."
train,36,Papers101: Supporting the Discovery Process in the Literature Review Workflow for Novice Researchers,False,,,,,low,"The abstract describes the introduction and features of a system, Papers101, but does not use explicit language to claim that the system or its approach is novel or a first of its kind."
train,37,Cite-as-you-write,False,,,,,low,"The abstract describes the system's function and contrasts it with traditional methods, but it does not contain any explicit language (e.g., 'novel', 'we propose', 'for the first time') to claim that the system or its approach is new."
train,38,A Mental Workload Estimation for Visualization Evaluation Using EEG Data and NASA-TLX,True,The authors propose a personalized mental workload estimation model using EEG data that is specialized for each individual to evaluate visualizations.,"In this paper, we propose a mental workload personalized estimation model with EEG data specialized for each individual to evaluate visualizations.",This model is needed because EEG signals and mental workload differ from person to person.,"Since everyone judges and senses differently, EEG signals and mental workload differ from person to person.",high,"The abstract explicitly states the proposal with the phrase 'we propose'. The reason for this specific type of model (personalized) is directly stated in the preceding sentence, which identifies the problem of individual differences."
train,39,THE IMPACT OF LEARNING THROUGH COGNITIVE LOAD ASSESSMENT AND EMOTIONAL STATE EVALUATION,False,,,,,low,"The abstract describes what the paper studies and focuses on, but it does not contain any explicit statements claiming that its approaches, methods, or findings are novel or new."
train,40,Measuring User Experience of Adaptive User Interfaces using EEG: A Replication Study,False,,,,,low,The abstract explicitly identifies the work as a 'replication study' designed to 'confirm or reject' findings from a previous experiment. It does not contain any language claiming novelty.
train,41,The Role of EEG Signals: SVM Classification of Cognitive Load as a Support for UX Evaluation,False,,,,,low,"The abstract describes the methodology and results of a study applying SVM to EEG data for cognitive load classification in UX. However, it does not contain any explicit statements of novelty, such as 'novel', 'first', or 'new'."
train,42,Cognitive Load Evaluation of Human-computer Interface Based on EEG Multi-dimensional Feature,True,The proposed method is more accurate at extracting multi-domain EEG features and has stronger robustness compared to other single deep learning algorithms.,"The experimental results show that compared with other single deep learning algorithms, it can extract EEG time-domain features, frequency-domain features and time-frequency-domain features more accurately, so has stronger robustness.",,,high,"The abstract makes a clear performance-based claim of superiority ('more accurately', 'stronger robustness') via comparison. The reason for this superior performance is embedded within the claim statement itself rather than being stated as a separate point."
train,43,A Comprehensive Survey of EEG Preprocessing Methods for Cognitive Load Assessment,False,,,,,low,"The abstract describes the work as a systematic analysis and survey. It states that the survey is 'anticipated to provide a valuable contribution', which is a statement of expected impact, not an explicit claim of novelty for the work itself."
train,44,Cognitive Load Prediction from Multimodal Physiological Signals using Multiview Learning.,True,The authors proposed a feature selection framework based on multiview learning for cognitive load prediction.,"Here, we proposed a feature selection framework based on multiview learning to address the challenges of information redundancy and reveal the common physiological mechanisms underlying cognitive load.",The framework is novel because it is designed to address information redundancy and reveal common physiological mechanisms related to cognitive load.,to address the challenges of information redundancy and reveal the common physiological mechanisms underlying cognitive load.,high,"The claim is explicitly stated using the phrase 'Here, we proposed...'."
train,45,Emotional Activity Is Negatively Associated With Cognitive Load in Multimedia Learning: A Case Study With EEG Signals,False,,,,,low,"The abstract describes the aim, methods, and findings of the study but does not contain any explicit claims of novelty (e.g., using words like 'novel', 'first', 'for the first time'). It reports the results of an investigation rather than claiming a new method or groundbreaking discovery."
train,46,Wearable Device-Based Real-Time Monitoring of Physiological Signals: Evaluating Cognitive Load Across Different Tasks,False,,,,,low,"The abstract describes the study's methods, application, and results, claiming it holds 'substantial theoretical and practical significance.' However, it does not use any explicit language to claim that the approach or findings are novel, new, or a 'first'."
train,47,Wearable Device-Based Physiological Signal Monitoring: An Assessment Study of Cognitive Load Across Tasks,False,,,,,low,"The abstract describes the study's approach, methods, and significance, but it does not contain any explicit statements of novelty using terms like 'novel,' 'first,' or 'new.' The claims made are about the efficacy, applicability, and significance of the approach, not its novelty."
train,48,PaperWeaver: Enriching Topical Paper Alerts by Contextualizing Recommended Papers with User-collected Papers,True,"The authors present PaperWeaver, an enriched paper alert system that provides contextualized text descriptions of recommended papers.","To help researchers spot these connections, we present PaperWeaver, an enriched paper alerts system that provides contextualized text descriptions of recommended papers based on user-collected papers.","The system is presented as a solution to help researchers spot connections between papers, which is difficult with existing systems that only show titles and abstracts.",To help researchers spot these connections,high,The abstract uses the common 'we present' formulation to introduce a new system designed to solve a clearly stated problem with existing tools.
train,49,Synthetic Context with LLM for Entity Linking from Scientific Tables,True,The authors propose using a synthetic context generated by large language models (LLMs) as a more refined context for entity linking.,"Furthermore, we propose synthetic context as a more refined context generated by large language models (LLMs).",,,high,The claim is explicitly stated with the word 'propose'. The abstract does not provide an explicit reason why this proposal is novel compared to prior art.
train,50,On Measuring the Contextual Relevance of Research Paper Recommendation Systems,False,,,,,low,"The abstract describes the paper as a presentation of 'the most common approaches' and an outline of their strengths and weaknesses. This indicates a survey or review paper, and it does not contain any explicit claims of novelty."
train,51,TEXT AND DATA MINING & MACHINE LEARNING MODELS TO BUILD AN ASSISTED LITERATURE REVIEW WITH RELEVANT PAPERS,True,"The paper proposes a new ranking index, called the DTb Index, to identify relevant papers.","Specifically, STELLAR allows to: Identify the relevant papers from SMESE thanks to the computation of a new ranking index (called, DTb Index) based on paper's semantic and contextual metadata such as discipline, topic, venue, authors in order to define the Literature Corpus of a specific topic or area of research.","The novelty of the index comes from its basis in a paper's semantic and contextual metadata, including discipline, topic, venue, and authors.","based on paper's semantic and contextual metadata such as discipline, topic, venue, authors",high,
train,52,DiscipLink: Unfolding Interdisciplinary Information Seeking Process via Human-AI Co-Exploration,True,"The authors introduce DiscipLink, a novel interactive system designed to facilitate collaboration between researchers and large language models for interdisciplinary information seeking.","In this paper, we introduce DiscipLink, a novel interactive system that facilitates collaboration between researchers and large language models (LLMs) in interdisciplinary information seeking (IIS).",,,high,"The abstract explicitly states that the introduced system, DiscipLink, is 'novel'. However, it does not provide an explicit reason or comparison to prior work to explain why it is novel."
train,53,Beyond Retrieval: Topic-based Alignment of Scientific Papers to Research Proposal,True,The paper introduces a novel task of aligning relevant scientific articles to topics provided by a researcher's proposal.,"This paper introduces a novel task of aligning scientific articles, relevant to a proposal, with researcher-provided proposal topics.",,,high,"The abstract also claims a 'novel three-stage approach' and the construction of a new benchmark dataset, but the introduction of the task itself is presented as the primary novel contribution."
train,54,Bridging Research and Readers: A Multi-Modal Automated Academic Papers Interpretation System,True,The authors introduce an open-source multi-modal automated academic paper interpretation system (MMAPIS) with a three-step process that incorporates LLMs.,"In response, we introduce an open-source multi-modal automated academic paper interpretation system (MMAPIS) with three-step process stages, incorporating LLMs to augment its functionality.","This system is presented as novel because it addresses notable challenges in prevailing models, which often overlook multimodal data, struggle with summarizing over-length texts, and lack diverse user interfaces.","However, prevailing models, both commercial and open-source, confront notable challenges: they often overlook multimodal data, grapple with summarizing over-length texts, and lack diverse user interfaces.",high,
train,55,Research Paper Summarization and Recommendation,False,,,,,low,"The abstract describes the paper's approach and its effectiveness but does not use any explicit language (e.g., 'novel', 'first', 'new') to frame its contribution as a novelty."
train,56,"SciLit: A Platform for Joint Scientific Literature Discovery, Summarization and Citation Generation",False,,,,,low,"The abstract describes a proposed pipeline and tool named SciLit. However, it does not contain any explicit novelty claims using words like 'novel', 'first', or 'new', nor does it contrast the work with prior art to establish its uniqueness. It describes what the system does ('We propose SciLit, a pipeline that...') but does not explicitly state that this combination or approach is a novel contribution."
train,57,AutoSurveyGPT: GPT-Enhanced Automated Literature Discovery,True,"The authors introduce AutoSurveyGPT, a novel framework for literature discovery.","In this work, we introduce AutoSurveyGPT, a novel framework for literature discovery.",,,high,The abstract explicitly states the framework is 'novel' but does not provide a specific reason or comparison to explain why it is novel.
train,58,ChainForge: An open-source visual programming environment for prompt engineering,False,,,,,low,"The abstract describes the creation of a tool, ChainForge, but does not use explicit novelty language (e.g., 'novel,' 'first,' 'new') to claim its uniqueness or present a novel methodology. The text is descriptive of the tool and its purpose."
train,59,Evoke: Evoking Critical Thinking Abilities in LLMs via Reviewer-Author Prompt Editing,True,"The authors propose Evoke, an automatic prompt refinement framework.","We propose Evoke, an automatic prompt refinement framework.","This framework is presented as an improvement over current methods, which often use ad-hoc procedures or inefficient random searches for prompts.",many human-in-the-loop algorithms employ ad-hoc procedures for prompt selection; while auto prompt generation approaches are essentially searching all possible prompts randomly and inefficiently.,high,
train,60,ChainForge: A Visual Toolkit for Prompt Engineering and LLM Hypothesis Testing,True,"The authors present ChainForge, an open-source visual toolkit designed for prompt engineering and testing hypotheses about text generation large language models (LLMs).","We present ChainForge, an open-source visual toolkit for prompt engineering and on-demand hypothesis testing of text generation LLMs.","This toolkit is novel because existing tools beyond basic prompting typically require programming skills, are limited to narrow domains, or are not open-source.","Yet tools that go beyond basic prompting tend to require knowledge of programming APIs, focus on narrow domains, or are closed-source.",high,
train,61,Unleashing the potential of prompt engineering in Large Language Models: a comprehensive review,False,,,,,low,"The abstract describes the paper as a 'comprehensive survey' and a 'friendly guide'. It outlines the topics it covers, but does not use explicit language to claim novelty, such as being the first or introducing a new method. The purpose is to review and elucidate existing concepts."
train,62,Smart Prompt Advisor: Multi-Objective Prompt Framework for Consistency and Best Practices,False,,,,,low,Claim quote was not found verbatim in abstract; dropped to avoid hallucination.
train,63,Prompt Engineering a Prompt Engineer,True,"The authors propose a method to improve automatic prompt engineering by infusing three key components into the meta-prompt: detailed descriptions, context specification, and a step-by-step reasoning template.","We fill this gap by infusing into the meta-prompt three key components: detailed descriptions, context specification, and a step-by-step reasoning template.",This approach is novel because the potential of previous automatic prompt engineering methods is limited by insufficient guidance for complex reasoning within the meta-prompt.,"While recent works indicate that large language models can be meta-prompted to perform automatic prompt engineering, we argue that their potential is limited due to insufficient guidance for complex reasoning in the meta-prompt.",high,"The abstract explicitly uses the phrase 'We fill this gap' to introduce the authors' contribution, directly contrasting it with the limitations of 'recent works'."
train,64,On-line help: an aid to effective use of software,True,The study developed an alternative approach to usability testing using student pairs for observation and recording.,"An alternative approach was developed, which drew on the resources of the student subjects, who worked in pairs so that one member of the pair tackled the set tasks while the other observed and took records on pro-formas devised for this study.",,,high,The abstract explicitly states 'An alternative approach was developed' in contrast to 'commonly employed' techniques that were not feasible due to resource constraints.
train,65,ConstitutionMaker: Interactively Critiquing Large Language Models by Converting Feedback into Principles,True,"The authors developed ConstitutionMaker, an interactive tool designed to convert user feedback into principles for steering LLM-based chatbots.","we developed ConstitutionMaker, an interactive tool for converting user feedback into principles, to steer LLM-based chatbots.",This is presented as a novel contribution because current methods do not support users in translating their natural feedback into changes in the model's prompt or behavior.,"current methods for steering a chatbot’s outputs, such as prompt engineering and fine-tuning, do not support users in converting their natural feedback on the model’s outputs to changes in the prompt or model.",high,"The abstract follows a clear structure by identifying a specific limitation in existing methods and then introducing their developed tool as the solution, which is a standard format for an explicit novelty claim."
train,66,Prompt Engineering or Fine Tuning: An Empirical Assessment of Large Language Models in Automated Software Engineering Tasks,False,,,,,low,"The abstract describes an empirical assessment and its findings. It compares existing techniques (prompt engineering vs. fine-tuning) on various tasks. The authors report what they 'investigate', 'find', and what their 'study suggests', but they do not use explicit language to frame these contributions as novel or a 'first'."
train,67,CiteRead: Integrating Localized Citation Contexts into Scientific Paper Reading,True,The authors introduce a novel paper reading experience that integrates information about follow-on work directly into the paper being read.,"In this work, we introduce a novel paper reading experience that integrates relevant information about follow-on work directly into a paper, allowing readers to learn about newer papers and see how a paper is discussed by its citing papers in the context of the reference paper.",This experience is novel because existing search engines provide lists of citing papers that are undifferentiated and disconnected from the original paper's content.,"unfortunately, they are undifferentiated and disconnected from the contents of the original reference paper.",high,
